molecule_class,SMILES
Ligand,12 16 16 17 16 18 16 17 16 22 16 17 16 17 16 18 16 18 16 22 16 20 16 17 16 18 16 18 22 16 20 16 21 22 16 17 45 17 16 26 17 16 16 32 16 43 18 16 16 17 16 32 18 16 16 43 16 26 18 16 58 17 16 76 18 16 16 17 16 16 76 16 98 18 16 16 98 16 58 18 16 17 19 16 18 22 16 16 22 16 21 19 16 13
Ligand,12 16 16 17 16 18 16 17 16 22 16 17 16 17 16 18 16 18 16 22 16 20 16 17 16 18 16 18 22 16 20 16 21 22 16 17 45 17 16 26 16 16 16 16 16 26 18 16 32 16 16 16 16 16 32 18 16 22 16 16 22 16 21 13
Ligand,12 16 16 17 16 18 16 17 16 22 16 17 16 17 16 18 16 18 16 22 16 20 16 17 16 18 16 18 22 16 20 16 21 22 16 17 45 17 16 17 16 18 17 16 18 16 18 16 17 16 18 17 16 18 16 18 16 17 19 16 18 22 16 16 22 16 21 19 16 13
Ligand,12 16 16 17 16 18 16 17 16 22 16 17 16 17 16 18 16 18 16 22 16 20 16 17 16 18 16 18 22 16 20 16 21 22 16 17 45 17 16 17 16 18 17 16 18 16 18 16 17 16 18 17 16 18 16 18 16 22 16 16 22 16 21 13
Additive,12 16 16 20 22 16 16 17 16 18 22 23 19 20 13
Additive,12 19 22 16 17 19 16 18 16 20 22 16 16 22 23 19 20 13
Additive,12 16 16 19 16 17 16 20 22 16 19 23 22 16 20 18 22 19 13
Additive,12 16 16 19 16 17 16 20 22 23 19 16 22 16 20 18 22 19 13
Additive,12 16 16 20 22 16 17 16 17 19 16 16 18 22 19 18 16 22 23 19 20 13
Additive,12 16 16 20 22 23 19 16 22 16 20 13
Additive,12 16 20 17 16 21 22 16 16 22 16 16 22 16 21 18 22 16 19 23 22 16 20 13
Additive,12 27 16 17 16 22 16 16 22 16 20 27 18 22 16 20 16 21 22 16 16 22 23 19 21 13
Additive,12 16 20 17 16 21 22 16 16 22 16 16 22 16 21 18 22 23 19 16 22 16 20 13
Additive,12 19 22 16 17 19 16 18 16 20 22 23 19 16 17 16 21 22 16 16 22 16 34 21 18 22 16 20 13
Additive,12 16 16 20 22 23 19 16 17 16 21 22 16 16 22 16 16 22 16 21 18 22 16 20 13
Additive,12 16 20 17 23 17 16 16 21 22 16 16 22 16 16 22 16 21 18 16 16 26 22 16 16 22 16 16 22 16 26 18 22 23 19 16 22 16 20 13
Additive,12 19 22 16 17 19 16 18 16 20 22 23 19 16 17 16 21 22 16 16 22 16 19 21 18 22 16 20 13
Additive,12 16 19 16 20 22 23 19 16 17 16 17 19 16 16 18 22 19 18 22 16 20 13
Additive,12 16 20 17 23 17 16 16 21 22 16 16 22 16 16 22 16 21 18 16 16 26 22 16 16 22 16 16 22 16 26 18 22 16 16 22 23 19 20 13
Additive,12 16 16 20 22 16 16 22 23 19 20 13
Additive,12 16 16 20 22 23 19 16 17 16 17 19 16 16 18 22 19 18 22 16 20 13
Additive,12 16 16 20 22 16 16 17 16 17 19 16 16 18 22 19 18 22 23 19 20 13
Additive,12 16 20 21 22 16 19 23 22 16 20 16 22 16 16 22 16 21 13
Additive,12 16 16 20 22 16 16 17 23 21 16 22 16 16 22 16 21 18 22 23 19 20 13
Additive,12 16 20 17 16 21 22 16 16 22 16 16 22 16 21 18 22 16 16 22 23 19 20 13
Additive,12 16 20 21 22 16 17 16 22 16 16 22 16 21 18 19 23 22 16 20 13
Base,12 16 23 17 16 18 45 17 23 17 16 18 16 18 17 23 17 16 18 16 18 22 23 45 17 23 17 16 18 16 18 17 23 17 16 18 16 18 22 23 16 16 13
Base,12 16 23 20 16 16 16 23 21 16 20 22 23 16 16 16 21 13
Base,12 16 16 17 16 18 17 16 18 39 23 22 16 17 23 17 16 18 16 18 39 23 17 16 18 16 13
